CustomerID,CustomerSegment,AcquisitionChannel,TenureMonths,SupportCalls,TotalSpend_USD,ChurnStatus
CUST_00078,Premium,Google Search,28,2,2384.51,0
CUST_00079,Standard,Google Search,36,5,1732.29,0
CUST_00080,Premium,Google Search,39,2,3320.03,0
CUST_00081,Premium,Facebook Ads,18,4,4243.23,0
CUST_00082,Standard,Google Search,30,2,961.59,1
CUST_00083,Basic,Email Marketing,35,0,1457.82,0
CUST_00084,Basic,Email Marketing,10,5,100.98,1
CUST_00085,Standard,Organic,22,0,862.58,0
CUST_00086,Standard,Google Search,11,3,1127.24,0
CUST_00087,Standard,Email Marketing,30,5,3216.93,0
CUST_00088,Basic,Email Marketing,6,3,3364.88,0
CUST_00089,Basic,Google Search,8,2,1035.52,0
CUST_00090,Standard,Facebook Ads,36,2,2969.64,0
CUST_00091,Standard,Email Marketing,1,7,2416.43,0
CUST_00092,Premium,Facebook Ads,10,3,4368.07,0
CUST_00093,Basic,Organic,17,1,2155.3,0
CUST_00094,Basic,Facebook Ads,18,4,311.95,0
CUST_00095,Basic,Facebook Ads,25,7,264.67,1
CUST_00096,Premium,Facebook Ads,26,1,881.56,0
CUST_00097,Premium,Facebook Ads,47,5,3269.98,0
CUST_00098,Standard,Google Search,26,3,2386.28,0
CUST_00099,Basic,Google Search,29,3,3494.23,0
CUST_00100,Premium,Email Marketing,14,6,3326.54,0
